Brief,Beleg,VK,Briefschreiber
"Wilhelm Grimm an Hugo. Berlin, 9. [und 12. ?] August 1844",es ist ein wunder daß der könig ist gerettet 25 worden,132,Wilhelm
"Wilhelm Grimm an Hirzel. Berlin, 17. Mai 1857",da Hermann in Rom wird angelangt sein,132,Wilhelm
"Wilhelm Grimm an Hirzel. Kösen, 28. September 1854",daß auch die anfangsgründe der mhd. grammatik 10 darin müsten mitgetheilt werden;,132,Wilhelm
"Wilhelm Grimm an Hirzel. Berlin, 14. Februar 1856","wohin er durch eine telegraphische depesche ist gerufen worden,",132,Wilhelm
"Wilhelm Grimm an Hirzel. Berlin, 23. Oktober 1858",daß der seltene vogel doch ist eingefangen worden,132,Wilhelm
"Wilhelm Grimm an Haupt. Berlin, 8. März 1844","Daß die feier meines geburtstages, die sonst recht hübsch war, durch Hoffmann ist gestört worden,",132,Wilhelm
"Wilhelm Grimm an Hirzel. Kösen, 28. September 1854",worin er mir auseinander setzte daß auch die anfangsgründe der mhd. grammatik 10 darin müsten mitgetheilt werden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Marburg, 28. bis 31. Mai [1805].",nach welchen die Sentenz dann solle gefällt werden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Halle, [1. April 1809]",damit deswegen Sorge kann getragen werden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Halle, 10. April 1809.",wie diese äußeren Erscheinungen könnten erklärt werden innerlich,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Halle, 21. und 22. April 1809.","als wenn ich bei lebendigem Leibe sollte einbalsamirt werden,",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Berlin, 28. Oktober 1809.",auf keinen Fall hätte es können restituirt werden ,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Halle, 24. [lies 22.] November 1809.","daß das ganze Verhältniß sehr langsam und sorgfältig mußte entwickelt werden,",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Gotha, 27. Dezember 1809.",welche als Vermächtniße nicht dürfen vereinzelt werden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Marburg, [7. September 1810].","daß auch das stille einfache Familien oder Gesellschaftsleben, nur lebendig ergriffen, auch im Roman kann aufgenommen werden",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Marburg, [14.] September [1810].",weil aber das Buch paraphirt und nichts darf ausgestrichen werden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 24. Juni 1812.",da das Buch noch eher als andere könnte gekauft werden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 18. und 24. Januar 1814.",eine größere Abhandlung worin soll bewiesen werden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 9. [bis 13.] Februar 1814. ","die Revision, die in Hinsicht der Numismatik und Kupferwerke sogar ietzt in der Kälte muß vorgenommen werden",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 9. [bis 13.] Februar 1814. ","er ist aber 125 durch Husten abgehalten worden, hat auch nicht gleich können gefahren werden",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 9. [bis 13.] Februar 1814.",ob sie überhaupt soll besetzt werden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 9. [bis 13.] Februar 1814.",daher auch wir müßten belastet werden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 5. und 6. Mai 1814.",wo das Feuer in der Stube muß angemacht werden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 3. bis 5. November 1814.",daß in einem Gedicht die 125 Namen nach der einen Mundart gleichförmig sollen geändert werden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 8. bis 14. Januar 1815.","ich höre daß sie der Zeiten wegen, soll getheilt und statt 200 jährlich nur 100 gegeben werden",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 8. bis 14. Januar 1815.","da sie nicht nach der zufälligen Wirkung, sondern von Grund aus muß entschieden werden",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 28. Februar 1815.",wornach sie vom 18—30 April an sollen ausbezahlt werden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 15. April 1817.",es hat aber den Winter wirklich nicht können gegoßen werden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 6. Oktober 1830.","daß ietzt, wo keine Licent mehr kann erhoben werden",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 6. Oktober 1830.",die nicht konnte angenommen werden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 6. Oktober 1830.",da kein Allarm sollte geblasen 65 werden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, [5. Juni 1833].",die wegen des noch immer in geringerem Grade fortdauernden Schmerzes in der Seite nur mit großer Vorsicht konnte angewendet werden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, [5. Juni 1833].",damit der Wagen konnte angezäumt werden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, [12. Juni 1833].",dessen Fenster den Tag über nur mit Vorsicht 5 durfte geöffnet werden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 22. Januar 1838.",wenn du an Gurke denkst die in der cholera nicht darf gegessen werden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 22. Januar 1838","Schütz reinigt die Lampen mit Vitriolöl, das allen Schmutz u. Öhlsatz wegfrißt, aber vorsichtig muß eingegoßen werden",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 2. und 3. Februar 1838. ",da der König selbst muß gebe40 ten werden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 20. Februar 1838.",es habe in der Zwischenzeit dieser Act durchaus nicht sollen vorgenommen werden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 22. Februar 1838.",ob nicht das Grundgesetz muß hergestellt werden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 27. Februar 1838.",daß erst der Rechtszustand müsse hergestellt werden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 5. März 1838.",daß gar nichts von der Competenzfrage dürfe verhandelt werden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 2. April 1838","welches Einkommen
uns jährlich dadurch könnte gesichert werden",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 6. April 1838.","daß wir dadurch für unser
Leben könnten gesichert werden",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 9. April 1838.", daß sein Name nicht solle genannt werden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 9. April 1838",wenn nicht bei einem Wörterbuch der Preis etwas geringer als bei andern Büchern müßte gestellt werden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 9. April 1838.","Wir wollen und dürfen die Arbeit nur als eine solche betrachten, die
unsere anderen Arbeiten nicht aufhebt, oder stört, oder wenn wir wieder in
70 ein Amt eintreten, daneben noch kann fortgeführt werden",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 9. April 1838.","daß wenn Prof.
Lachmann oder Dr
 Haupt an der Ausarbeitung theilnehmen eine wünschens werthe Beschleunigung kann bewirkt werden",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 22. April 1838.","Daß bei einer Subscription, welche gleich Sicherheit u. Gewinn voraus
gewährt, das Verhältnis ganz anders, u. für uns vortheilhafter müßte gestellt
werden",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 25. April 1838.",daß ohne eine ganz neue Grundlage sie nicht könne hergestellt werden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 2. Mai 1838.",daß es jetzt niemand dort wolle gethan haben,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 8. August 1838.","daß
80 die Universität wieder könne hergestellt werden",132,Wilhelm
" Wilhelm Grimm an Jacob Grimm. Göttingen, 18. August 1838.","Da es
eine ziemliche Anzahl Schriftsteller gibt, die ohne Zweifel müssen ausgezogen werden",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 10. September 1838.",wenn auch auf der andern Seite der Verkaufspreis etwas geringer müßte gestellt werden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Jena, 23. Juli 1847.","da ich gleich in der Nähe bin, und wenn
etwas nöthig ist, gleich kann gerufen werden",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Berlin,
[um den 9. August 1848]","wo alles was für den
30 könig bestimmt ist, muß abgegeben werden",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Berlin, 17. August 1848.","da dies mittel nicht gleich anfangs darf
5 angewendet werden",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Freienwalde,
12. September 1848.","so daß wenn es
nöthig ist, kann eingeheizt werden",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Harzburg, 1. September 1858.",so daß der arzt muste gerufen werden,132,Wilhelm
"Aufzeichnungen Wilhelm Grimms. Kassel, 14. Juni 1811.",daß ich nicht kann geheilt werden,132,Wilhelm
"Aufzeichnungen Wilhelm Grimms. Kassel,
3. [und 4.] August [1811].",wenn das Fenster nun soll aufgethan werden,132,Wilhelm
"Testament Wilhelm Grimms. Berlin, 28. Oktober 1850.",wie es nach meinem Tode mit meinem Vermögen und der Bevormundung meiner Kinder soll gehalten werden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Halle, [13. Mai 1809].",wo seiner in Ehren wird gedacht werden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Marburg, 4. September 1810.",so dass ihm alles muss aufgeschrieben werden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 19. und 25. März 1815",ietzt wird das freilich auch müßen aufgeschoben werden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 14. Mai [1815].","wozu du dort
Vorrath genug wirst gesammelt werden",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 2. Juni 1815.",daß es müße angerechnet werden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 13. Februar 1838.",bei der neu eingetretenen Kälte wird ohnehin der Besuch bei dir noch müßen aufgeschoben werden,132,Wilhelm
"Wilhelm Grimm an Henriette Philippine Zimmer.
Marburg, 27. Februar [lies März] [1805].",die nur einiger maßen als Ersatz dagegen könnte betrachtet werden,132,Wilhelm
"Wilhelm Grimm an Henriette Philippine Zimmer.
Halle, 14. April [1809].",die aber auch nur sehr vorsichtig dürften angewendet werden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 5. und 6. Mai 1814.",daß beide Mss. nothwendig müßen benutzt werden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel,
9. [bis 13.] Februar 1814.","da ich ohnehin in diesen Zeiten durch viele Besorgungen, Besuche
(zwei Tage hat die Base Koppen bei uns logirt) wie du leicht denken kannst,
bin abgehalten worden",132,Wilhelm
"Wilhelm Grimm an Dorothea und Jacob Grimm. Göttingen,
17. März [1838].",weil er zur Deputation vom Curatorium ist berufen worden,132,Wilhelm
"Aufzeichnungen Wilhelm Grimms. Kassel, 14. Juni 1811.","du hast noch einmal mein blaßes Gesicht geküßt, das
aber nicht mehr davon ist bewegt worden",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Jena, 20. Juli [1847]. ","daß
der Magen während der Krankheit nicht ist angegriffen worden",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 14. April 1838.","daß er
anfangs, etwa im Juli oder August ist ausgebracht worden",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Freienwalde,
18. September 1848.","da die cholera in der
letzten woche mit heftigkeit ausgebrochen ist und schon an einem tag über
25 100 menschen davon sind ergriffen worden",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Göttingen, 31. August 1838.","bis er aufs
neue ist gedrängt worden",132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Harzburg, 1. September 1858.",ein alter krug der neben dem metallgefäß ist gefunden worden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel,
9. [bis 13.] Februar 1814.",Wenn nur hier auch wäre geschoßen worden,132,Wilhelm
"Wilhelm Grimm an Jacob Grimm. Kassel, 6. Juni [1811].",daß etwa eine Einnahme nicht an die Schwester ist gesendet worden,132,Wilhelm
"Wilhelm Grimm an Henriette Philippine Zimmer.
Halle, 14. April [1809].","es hätte schon früher ganz anders
müßen behandelt werden",132,Wilhelm
"Wilhelm Grimm an Henriette Philippine Zimmer.
Marburg, 25. September 1805.","die alle diesen Herbst als Aßeßoren wollen
15 angestellt werden",132,Wilhelm
"Wilhelm Grimm an Henriette Philippine Zimmer.
 Kassel, 3. Februar [1810].","wie es mit dem Ankauf des
Cattuns soll gehalten werden",132,Wilhelm
"Wilhelm Grimm an Hugo. Berlin, 22. Mai 1841.",den er aus mitgetheilten acten schon habe kennen lernen,132,Wilhelm
"Jacob Grimm an Wilhelm Grimm. Wien,
21. und 22. Oktober 1814.","ob du meine Aprildiäten ausgezahlt bekommen
hast",321,Jacob
"Jacob Grimm an Pfeiffer. Berlin, 19. Februar 1860","doch bald stellte sich heraus, dasz das einzelne schaffen der sinnesart eines jeden überlassen bleiben müsse",321,Jacob
"Jacob Grimm an Hugo. Kassel, 29. Oktober 1840",und hätte ruhig da stehn bleiben 15 können,321,Jacob
"Jacob Grimm an Hoffmann von Fallersleben. Kassel, 10. April 1822","ich ertrags leichter, weil es mir zu den vielen innern gebrechen stimmt und mich zu verbeßerungen ermuntert, für die eine anständigere form aufbehalten blei10 ben soll",321,Jacob
"Jacob Grimm an Hoffmann von Fallersleben. Kassel, 5. März 1819",wiewohl die meisten Lieder verloren bleiben werden,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 19. bis 25. April 1814.","wie elendig
er auf dem Feld liegen geblieben ist",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 4. August 1805","daß er im
95 Studium der Philos. nur bis auf Garve gekommen u. bei diesem stehen geblieben sei",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 1. Mai 1814.","daß er durch sein Schicksal und ohne seine Schuld am meisten von
uns verlaßen geblieben ist ",321,Jacob
"Jacob (und Wilhelm) Grimm an Henriette Philippine Zimmer.
Kassel, 3. Juli 1810.","seine Arbeiten sind so brav, daß er sie gewiß bezahlt erhalten würde",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Göttingen,
26. [und 27.] Juli [1833].",den er mir darum hintennach zu lesen gegeben hat,321,Jacob
"Jacob Grimm an Mone. Kassel, 28. Februar 1841.","da Sie durch bekanntmachung einzelner stücke in Ihrem
anzeiger zu verstehn gegeben haben",321,Jacob
"Jacob Grimm an Hirzel. Berlin, 3. Dezember 1858","schade, wenn Ihre zettel für E. verloren gegangen wären",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Chaumont, 19. März [1814]",warum Briefe unter meiner Adreße über Frankf. u. Nancy mit der Briefpost verloren gehen sollten,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 4. Januar 1815.","ob ich ein wenig spazi105 ren gehen kann,",321,Jacob
"Jacob Grimm an Pfeiffer. Berlin, 10. September 1851","bedenken, weil das anlautende s doch irgend einmal aufgehört haben muss.",321,Jacob
"Jacob Grimm an Wackernagel. Göttingen, 28. November 1830","Auch was Simrock betroffen haben soll thut mir leid, nicht bloß seinetwegen",321,Jacob
"Jacob Grimm an Hirzel. Berlin, 11. April [1861]","Mir ist unwahrscheinlich, dasz Göthe alle römische elegien erst in Weimar und auf die Vulpius gemacht haben solle ",321,Jacob
"Jacob Grimm an Hirzel. Berlin, 3. Dezember 1858","ich will sie nächstens einmal revidieren, ob sich etwas eingescho10 ben haben könnte",321,Jacob
"Jacob Grimm an Hirzel. Berlin, 18. Februar 1863","was auch 145 auf Haupt, der ganz von ihm abhängig wurde, einflusz geäuszert haben mag",321,Jacob
"Jacob Grimm an Hoffmann von Fallersleben. Kassel, 6. März 1826","Nächstdem sind mir im augenblicke der durchsicht nicht alle und jede einzelnheiten, worauf es ankommt, im sinn und geläufig, die Sie als herausgeber länger 20 und vielseitiger erwogen haben müßen",321,Jacob
"Jacob Grimm an Mone. Kassel, 12. Dezember 1818","Daraus folgt, daß týr im althochdeutschen gelautet haben müße",321,Jacob
"Jacob Grimm an Mone. Kassel, 10. Januar 1829","ich meine wohl, daß Sie in Ihrem Kraichgau den himmel und die erde mit freundlicheren augen angesehen haben müßen",321,Jacob
"Jacob Grimm an Pfeiffer. Berlin, 10. Dezember 1857",da die Verhältnisse sich nun geordnet haben werden,321,Jacob
"Jacob Grimm an Hirzel. Berlin, 31. Januar 1854",worauf Sie mit schmerzen gewartet haben werden,321,Jacob
"Jacob Grimm an Hirzel. Berlin, 13. November [1854]","der artikel buch ist einer, wo Sie viel zu berichtigen haben werden",321,Jacob
"Jacob Grimm an Mone. Kassel, 12. August 1819","In solchen Zeiten, deren Möglichkeit man vor einigen Jahren blind geleugnet haben würde",321,Jacob
"Jacob Grimm an Hirzel. Berlin, 15. Oktober [1852].","ihre durchgängige gehässigkeit kann ich mir nur durch die annahme erklären, dasz er selbst zu einem nhd. wörterbuch gesammelt haben musz",321,Jacob
"Jacob Grimm an Hirzel. Berlin, [13. Januar 1859].","von dem Sie zwei, vielleicht gleich 15 eingebundne exemplare erworben haben musten",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Straßburg, 21. Juni 1814.",worin er geschwebt haben muß,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Gotha, [29. Mai 1811].",daß sie hier keine verloren oder verlegt haben kann,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Vesoul, 9. bis 11. März 1814.",da wir bei dem mörderischen Gefecht von Bar s. Aube drei Oestreicher auf einen Franzosen verlo120 ren haben sollen,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Dijon, 30. März bis 1. April 1814.","eine leise Anerkennung der Bourbons, für welche sich auch Nancy froh erklärt haben soll",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Dijon, 30. März bis 1. April 1814.","Der Sieg, den die östr. Cavallerie haupts. gewonnen haben soll,",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Dijon, 30. März bis 1. April 1814.","der mit mit ihm eine Unterredung gehabt haben soll,",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 19. bis 25. April 1814.","die Tochter, die sich doch anfangs in dem französ. Wesen gefallen haben soll",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 19. bis 25. April 1814.",daß Unglück und der Anblick unserer Zeit nicht tiefer auf ihn gewirkt haben sollten,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 1. Mai 1814. ",wie wohl ich zufällig gewirkt haben kann,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 23. November 1814.","mit Lepel, der vielleicht jene Worte gesagt haben mag",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 23. November 1814.","schreib mir sogleich wichtige Stellen auf, die du bis zu Z. 6584 verglichen haben willst,",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, [27. Dezember 1814].",welche ich dich fleißig durchzusehen und baldigst ins nächste Heft rücken zu lassen gebeten haben will.,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 31. Dezember 1814.",da es schon Suabedißen bei Krieger gekauft haben soll,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 27. Januar 1815.","was er zwar zu meiner Ehre, aber in seinen Magen, bestens getrunken haben will",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 2. Mai 1815.","da sie schwerlich die Gründe, worum ich es thun muß, völlig anerkannt haben würde.",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 21. Oktober 1815.",weil ihr ähn15 liche erhalten haben müßt,321,Jacob
" Jacob Grimm an Wilhelm Grimm. Paris, 21. Oktober 1815.","die aber gewiß das längste gedauert haben muß,",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel, 3. Mai 1823.",wo der Kurfürst ihre Gesundheit aus gebracht haben soll,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel, 2. Januar 1838.","Dass Wunderlichs persönlichkeit der sache in B. einen ausschlag gegeben haben soll,",321,Jacob
"Jacob Grimm an Wilhelm und Dorothea Grimm. Kassel,
14. September [1838].","obgleich er früher seinem onkel Lukhardt in einer sehr bedenklichen angelegenheit durchgeholfen haben
soll",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 2. April [1805].",die der erste beste Lakai beßer gemacht haben würde,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 27. Mai 1805.","daß du meinen Auszug
aus dem lp. Meßkatalog erhalten u. den Laokoon bestellt haben wirst",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel, 26. April 1809.",weil du von den hiesigen Unruhen gehört haben wirst,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel, 10. Juli 1809.","der Posten meinen Gehalt ansehnlich vermehrt haben würde,",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Göttingen, [21. Juni 1812].",welches ihn verdroßen haben wird,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Vesoul, 9. bis 11. März 1814.","da du nicht auf mich gewartet haben
wirst",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Dijon, 5. bis 7. April [1814].","daß sie die
Integrität des alten Frankreich jetzo nicht so ausgesprochen haben würden",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Straßburg, 21. Juni 1814.","als ich das wichtigste abgethan haben
werde",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Straßburg, 21. Juni 1814.",Wann du also diesen Brief erhalten haben wirst,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 2. und 3. Oktober [1814].",bis du mir wieder darüber deine andere Meinung gesagt haben würdest,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 8. Oktober [1814].","daß wenn er meine Ankunft einen Monat früher gewußt, er ihn zurückgehalten haben würde",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 4. Januar 1815.","weil du mir doch darauf geantwortet haben
würdest.",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 21. [Februar 1815].",wovon du aber das meiste schon selber gefunden haben wirst,321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 6. und 7. März 1815.","aber ohne daß er selbst dazu thun, sondern Hartmann (der mir persönl. gefällt) alles zu besorgen haben wird",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 2. Mai 1815.","da sie schwerlich die Gründe, worum
ich es thun muß, völlig anerkannt haben würde.",321,Jacob
"Jacob Grimm an Wilhelm und Ludwig Grimm. Mainz,
13. September 1815.",also die Reise gar nichts gekostet haben würde,321,Jacob
" Jacob Grimm an Wilhelm Grimm. Kassel, [24. April 1838].","die seinen ruf nach G., wäre damals schon seine autorschaft ausser zweifel gewesen, verhindert haben würden",321,Jacob
"Jacob Grimm an Wilhelm und Dorothea Grimm. Kassel, 1. September [1838].","dass er den toast unterlassen haben würde,",321,Jacob
"Jacob Grimm an Dorothea Grimm. Kassel, 16. September 1838",wie du um den Carl Schmerfeld gesorgt haben wirst,321,Jacob
"Jacob Grimm an Dorothea Grimm. Berlin, 6. und 7. [September 1841].",weil er von hier nach Frankfurt vier tage zu laufen haben wird,321,Jacob
"Jacob (und Wilhelm) Grimm an Henriette Philippine Zimmer.
Kassel, 19. Februar 1810.",wann Sie den Wein geschickt haben wollen,321,Jacob
"Jacob Grimm an Henriette Philippine Zimmer.
Kassel, 21. [lies 20.] Dezember 1809.","daß er
durch einige Ungefälligkeit u. Nachläßigkeit dazu Anlaß gegeben haben
mag",321,Jacob
"Jacob Grimm an Johann Hermann Zimmer.
Steinau, 16. Dezember 1794. ",daß der Obrist Gall mit den Franzosen correspondirt und die Lage des Vaterlands verraten haben soll,321,Jacob
"Jacob Grimm an Henriette Philippine Zimmer.
Kassel, 8. Dezember 1809.","wenn es durch
den vermuthlich gemachten Umweg gelitten haben sollte",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 10. November 1815.","ich hoffe, daß du meine beiden Briefe, einen unmittelbar von hier mit der
5 Post, den andern durch Einschluß über Frankfurt richtig empfangen haben
wirst",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 27. Mai 1805.","Ich hoffe, daß du meinen Auszug
aus dem lp. Meßkatalog erhalten u. den Laokoon bestellt haben wirst.",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 6. und 7. März 1815.","ohne daß er selbst dazu thun, sondern Hartmann (der mir persönl. gefällt) alles zu besorgen haben wird",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 2. Mai 1815. ","da sie schwerlich die Gründe, worum
ich es thun muß, völlig anerkannt haben würde",321,Jacob
"Jacob Grimm an Wilhelm und Ludwig Grimm. Mainz,
13. September 1815.","weil ich mir, stellt euch vor, einen Wagen gekauft
25 habe, also die Reise gar nichts gekostet haben würde",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Kassel, [24. April 1838].","die seinen
ruf nach G., wäre damals schon seine autorschaft ausser zweifel gewesen,
verhindert haben würden",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Vesoul, 9. bis 11. März 1814.","da du nicht auf mich gewartet haben
wirst,",321,Jacob
"Jacob Grimm an Dorothea und Wilhelm Grimm. Kassel,
8. Februar 1838.",das sich irgendwo verirrt haben muss,321,Jacob
"Jacob Grimm an Wilhelm und Dorothea Grimm. Kassel,
1. September [1838].","dass er den toast unterlassen
haben würde",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 1. und 6. März 1805.","so schlecht du mitunter wohl auch
gesungen haben magst",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Wien, 31. Dezember 1814.","daß du meinen dicken Brief vom
20—25 November ungefähr, worin ich dir alle meine Collectaneen über den
10 a. Heinrich zugesandt, so daß mich deine Vorwürfe garnicht treffen, nicht
erhalten haben solltest",321,Jacob
"Jacob Grimm an Henriette Philippine Zimmer.
Leipzig, 18. Juni [1811].","hoffe, daß Sie meinen letzten Brief
aus Dresden richtig erhalten haben werden",321,Jacob
"Jacob Grimm an Henriette Philippine Zimmer.
 Kassel, 8. Februar 1813.","daß
sie es erhalten haben werden",321,Jacob
"Jacob Grimm an Hirzel. Berlin, [3. Mai 1852]","ob ich den beiden gierigen raben, den set10 zern, immer so futter verabreichen können werde,",321,Jacob
"Jacob Grimm an Wilhelm Grimm. Paris, 11. und 14. März 1805.",welches vor kurzem des Sav. Schwägerin aus D. geschikt kriegt hat,321,Jacob
"Jacob Grimm an Pfeiffer. Berlin, 19. Februar 1860","begreife nicht, warum Sie jeden anspruch der bessernden reform als gewaltthätig abweisen und alle unbefugt eingetretenen Verderbnisse behalten und gelten lassen wollen",321,Jacob
"Jacob Grimm an Karajan. Berlin, 10. Juli 1843", ich werde nicht alle stücke drucken lassen können,321,Jacob
"Jacob Grimm an Hirzel. Berlin, [10. November 1856]",damit ich ihn holen lassen kann,321,Jacob
"Jacob Grimm an Hirzel. Berlin, [12. August 1852]","ich möchte das catholische wb. sehn, das mit auslassung aller citate aus Luther, Göthe, Schiller und andern sündern oder ketzern der Borromäusverein un- serm wb. auf dem fusze folgen lassen will",321,Jacob
"Jacob Grimm an Bartsch. Berlin, 21. August 1855",Dasz Sie Ihre metrischen Untersuchungen nicht liegen lassen werden,321,Jacob
